Date,old_Latitude,old_Longitude,Temperature_at_atm,temp_celsius,temp_fahrenheit,new_Longitude
01-01-2015,30.5,241.88,287.22,14.07000000000005,57.32600000000008,-118.12
01-01-2015,30.5,243.13,287.22,14.07000000000005,57.32600000000008,-116.87
01-01-2015,30.5,244.38,284.6,11.450000000000045,52.61000000000007,-115.62
01-01-2015,31.5,241.88,286.81,13.660000000000025,56.58800000000002,-118.12
01-01-2015,31.5,243.13,285.87,12.720000000000027,54.896000000000015,-116.87
01-01-2015,31.5,244.38,282.72,9.57000000000005,49.226000000000056,-115.62
01-01-2015,32.5,241.88,286.41,13.260000000000048,55.867999999999995,-118.12
01-01-2015,32.5,243.13,283.49,10.340000000000032,50.61200000000002,-116.87
01-01-2015,32.5,244.38,282.05,8.900000000000034,48.02000000000004,-115.62
01-01-2015,33.5,241.88,284.25,11.100000000000023,51.98000000000002,-118.12
01-01-2015,33.5,243.13,280.23,7.080000000000041,44.74400000000003,-116.87
01-01-2015,33.5,244.38,281.93,8.78000000000003,47.80400000000003,-115.62
01-02-2015,30.5,241.88,288.83,15.680000000000007,60.22399999999999,-118.12
01-02-2015,30.5,243.13,289.61,16.460000000000036,61.627999999999986,-116.87
01-02-2015,30.5,244.38,289.53,16.379999999999995,61.48399999999998,-115.62
01-02-2015,31.5,241.88,288.56,15.410000000000025,59.738,-118.12
01-02-2015,31.5,243.13,289.17,16.02000000000004,60.83600000000007,-116.87
01-02-2015,31.5,244.38,288.5,15.350000000000023,59.63000000000005,-115.62
01-02-2015,32.5,241.88,288.55,15.400000000000034,59.71999999999997,-118.12
01-02-2015,32.5,243.13,287.94,14.79000000000002,58.622000000000014,-116.87
01-02-2015,32.5,244.38,288.26,15.110000000000014,59.198000000000036,-115.62
01-02-2015,33.5,241.88,288.09,14.939999999999998,58.891999999999996,-118.12
01-02-2015,33.5,243.13,285.97,12.82000000000005,55.07600000000008,-116.87
01-02-2015,33.5,244.38,288.85,15.700000000000045,60.26000000000005,-115.62
01-03-2015,30.5,241.88,289.53,16.379999999999995,61.48399999999998,-118.12
01-03-2015,30.5,243.13,290.0,16.850000000000023,62.329999999999984,-116.87
01-03-2015,30.5,244.38,291.56,18.410000000000025,65.13799999999998,-115.62
01-03-2015,31.5,241.88,289.3,16.150000000000034,61.06999999999999,-118.12
01-03-2015,31.5,243.13,289.69,16.54000000000002,61.77199999999999,-116.87
01-03-2015,31.5,244.38,291.01,17.860000000000014,64.14799999999997,-115.62
01-03-2015,32.5,241.88,289.4,16.25,61.24999999999994,-118.12
01-03-2015,32.5,243.13,289.55,16.400000000000034,61.52000000000004,-116.87
01-03-2015,32.5,244.38,291.82,18.670000000000016,65.60599999999994,-115.62
01-03-2015,33.5,241.88,289.86,16.710000000000036,62.07800000000003,-118.12
01-03-2015,33.5,243.13,289.17,16.02000000000004,60.83600000000007,-116.87
01-03-2015,33.5,244.38,292.37,19.220000000000027,66.59600000000006,-115.62
01-04-2015,30.5,241.88,290.45,17.30000000000001,63.13999999999993,-118.12
01-04-2015,30.5,243.13,291.01,17.860000000000014,64.14799999999997,-116.87
01-04-2015,30.5,244.38,293.68,20.53000000000003,68.95400000000001,-115.62
01-04-2015,31.5,241.88,290.13,16.980000000000018,62.56400000000002,-118.12
01-04-2015,31.5,243.13,290.77,17.620000000000005,63.71599999999995,-116.87
01-04-2015,31.5,244.38,293.66,20.510000000000048,68.91800000000006,-115.62
01-04-2015,32.5,241.88,289.95,16.80000000000001,62.23999999999995,-118.12
01-04-2015,32.5,243.13,290.67,17.52000000000004,63.536,-116.87
01-04-2015,32.5,244.38,294.71,21.560000000000002,70.80799999999994,-115.62
01-04-2015,33.5,241.88,290.71,17.560000000000002,63.608000000000004,-118.12
01-04-2015,33.5,243.13,291.37,18.220000000000027,64.79599999999999,-116.87
01-04-2015,33.5,244.38,295.87,22.720000000000027,72.89600000000002,-115.62
01-05-2015,30.5,241.88,289.78,16.629999999999995,61.93399999999991,-118.12
01-05-2015,30.5,243.13,289.73,16.58000000000004,61.843999999999994,-116.87
01-05-2015,30.5,244.38,291.32,18.170000000000016,64.70599999999996,-115.62
01-05-2015,31.5,241.88,289.37,16.220000000000027,61.19599999999997,-118.12
01-05-2015,31.5,243.13,289.12,15.970000000000027,60.74600000000004,-116.87
01-05-2015,31.5,244.38,291.65,18.5,65.30000000000001,-115.62
01-05-2015,32.5,241.88,289.2,16.05000000000001,60.88999999999993,-118.12
01-05-2015,32.5,243.13,289.0,15.850000000000023,60.53000000000003,-116.87
01-05-2015,32.5,244.38,293.12,19.970000000000027,67.94599999999997,-115.62
01-05-2015,33.5,241.88,290.23,17.08000000000004,62.744000000000085,-118.12
01-05-2015,33.5,243.13,289.8,16.650000000000034,61.96999999999997,-116.87
01-05-2015,33.5,244.38,294.88,21.730000000000018,71.11399999999998,-115.62
01-06-2015,30.5,241.88,290.97,17.82000000000005,64.07600000000008,-118.12
01-06-2015,30.5,243.13,291.37,18.220000000000027,64.79599999999999,-116.87
01-06-2015,30.5,244.38,295.4,22.25,72.05000000000001,-115.62
01-06-2015,31.5,241.88,290.67,17.52000000000004,63.536,-118.12
01-06-2015,31.5,243.13,291.25,18.100000000000023,64.57999999999998,-116.87
01-06-2015,31.5,244.38,296.93,23.78000000000003,74.80400000000003,-115.62
01-06-2015,32.5,241.88,290.82,17.670000000000016,63.80599999999998,-118.12
01-06-2015,32.5,243.13,292.16,19.010000000000048,66.21800000000002,-116.87
01-06-2015,32.5,244.38,298.88,25.730000000000018,78.31400000000002,-115.62
