Date,old_Latitude,old_Longitude,Temperature_at_atm,temp_celsius,temp_fahrenheit,new_Longitude
01-03-2015,32.5,248.12,289.52,16.370000000000005,61.46599999999995,-111.88
01-03-2015,32.5,249.37,286.71,13.560000000000002,56.40799999999996,-110.63
01-03-2015,32.5,250.62,284.57,11.420000000000016,52.55599999999998,-109.38
01-04-2015,29.5,248.12,292.86,19.710000000000036,67.47800000000001,-111.88
01-04-2015,29.5,249.37,292.09,18.939999999999998,66.09199999999993,-110.63
01-04-2015,29.5,250.62,289.38,16.230000000000018,61.214,-109.38
01-04-2015,30.5,248.12,291.11,17.960000000000036,64.32800000000003,-111.88
01-04-2015,30.5,249.37,289.03,15.879999999999995,60.584,-110.63
01-04-2015,30.5,250.62,287.6,14.450000000000045,58.01000000000005,-109.38
01-04-2015,31.5,248.12,290.08,16.930000000000007,62.47399999999999,-111.88
01-04-2015,31.5,249.37,287.3,14.150000000000034,57.46999999999997,-110.63
01-04-2015,31.5,250.62,286.73,13.580000000000041,56.44400000000002,-109.38
01-04-2015,32.5,248.12,291.36,18.210000000000036,64.77800000000008,-111.88
01-04-2015,32.5,249.37,288.41,15.260000000000048,59.46800000000002,-110.63
01-04-2015,32.5,250.62,286.3,13.150000000000034,55.670000000000016,-109.38
01-05-2015,29.5,248.12,295.54,22.390000000000043,72.30200000000008,-111.88
01-05-2015,29.5,249.37,296.07,22.920000000000016,73.25600000000003,-110.63
01-05-2015,29.5,250.62,294.1,20.950000000000045,69.7100000000001,-109.38
01-05-2015,30.5,248.12,294.48,21.33000000000004,70.39400000000006,-111.88
01-05-2015,30.5,249.37,293.84,20.689999999999998,69.2419999999999,-110.63
01-05-2015,30.5,250.62,293.22,20.07000000000005,68.12600000000003,-109.38
01-05-2015,31.5,248.12,294.07,20.920000000000016,69.656,-111.88
01-05-2015,31.5,249.37,292.79,19.640000000000043,67.35200000000003,-110.63
01-05-2015,31.5,250.62,292.98,19.83000000000004,67.69400000000002,-109.38
01-05-2015,32.5,248.12,295.92,22.77000000000004,72.98600000000005,-111.88
01-05-2015,32.5,249.37,294.04,20.890000000000043,69.60200000000003,-110.63
01-05-2015,32.5,250.62,292.51,19.360000000000014,66.84800000000001,-109.38
01-06-2015,29.5,248.12,300.87,27.720000000000027,81.89600000000002,-111.88
01-06-2015,29.5,249.37,302.25,29.100000000000023,84.38000000000005,-110.63
01-06-2015,29.5,250.62,299.85,26.700000000000045,80.06,-109.38
01-06-2015,30.5,248.12,300.28,27.129999999999995,80.834,-111.88
01-06-2015,30.5,249.37,300.03,26.879999999999995,80.38399999999996,-110.63
01-06-2015,30.5,250.62,298.97,25.82000000000005,78.47600000000006,-109.38
01-06-2015,31.5,248.12,300.28,27.129999999999995,80.834,-111.88
01-06-2015,31.5,249.37,298.95,25.80000000000001,78.44,-110.63
01-06-2015,31.5,250.62,298.63,25.480000000000018,77.86399999999998,-109.38
01-06-2015,32.5,248.12,302.46,29.310000000000002,84.75799999999998,-111.88
