,Date,Temperature Celsius
0,2014-12-07,20.20233154296875
1,2015-01-06,20.050994873046875
2,2015-02-04,21.283966064453125
3,2015-03-07,22.5347900390625
4,2015-04-06,25.076202392578125
5,2015-05-07,26.470550537109375
6,2015-06-06,25.710845947265625
7,2015-07-07,26.2109375
8,2015-08-07,26.095245361328125
9,2015-09-06,24.20068359375
10,2015-10-07,22.600677490234375
11,2015-11-06,20.94635009765625
12,2015-12-07,20.73077392578125
13,2016-01-06,20.327178955078125
14,2016-02-04,23.159454345703125
15,2016-03-06,24.183319091796875
16,2016-04-05,24.826263427734375
17,2016-05-06,25.670745849609375
18,2016-06-05,25.1446533203125
19,2016-07-06,25.44049072265625
20,2016-08-06,27.100067138671875
21,2016-09-05,24.16107177734375
22,2016-10-06,22.8182373046875
23,2016-11-05,21.826904296875
24,2016-12-06,20.815399169921875
25,2017-01-05,22.455047607421875
26,2017-02-03,23.55926513671875
27,2017-03-06,25.076171875
28,2017-04-05,26.264923095703125
29,2017-05-06,26.7015380859375
30,2017-06-05,26.096343994140625
31,2017-07-06,27.994873046875
32,2017-08-06,26.977447509765625
33,2017-09-05,24.2293701171875
34,2017-10-06,23.430938720703125
35,2017-11-05,22.87322998046875
36,2017-12-06,22.1549072265625
37,2018-01-05,22.075439453125
38,2018-02-03,23.211395263671875
39,2018-03-06,25.84210205078125
40,2018-04-05,27.524322509765625
41,2018-05-06,26.78662109375
42,2018-06-05,27.6085205078125
43,2018-07-06,25.72320556640625
44,2018-08-06,25.544281005859375
45,2018-09-05,24.00250244140625
46,2018-10-06,23.163482666015625
47,2018-11-05,20.51812744140625
48,2018-12-06,21.553192138671875
49,2019-01-05,21.0
50,2019-02-03,21.302825927734375
51,2019-03-06,23.75933837890625
52,2019-04-05,26.216583251953125
53,2019-05-06,27.12432861328125
54,2019-06-05,25.206268310546875
55,2019-07-06,25.768890380859375
56,2019-08-06,25.275909423828125
57,2019-09-05,24.006927490234375
58,2019-10-06,22.598480224609375
59,2019-11-05,22.45849609375
60,2019-12-06,20.6561279296875
61,2020-01-05,21.17327880859375
62,2020-02-03,22.160919189453125
63,2020-03-05,24.23089599609375
64,2020-04-04,24.951812744140625
65,2020-05-05,25.40869140625
66,2020-06-04,24.861358642578125
67,2020-07-05,26.01654052734375
68,2020-08-05,25.502197265625
69,2020-09-04,24.640838623046875
70,2020-10-05,23.30084228515625
71,2020-11-04,21.830413818359375
72,2020-12-05,21.494781494140625
73,2021-01-04,21.10833740234375
74,2021-02-02,22.64801025390625
75,2021-03-05,24.246978759765625
76,2021-04-04,27.22210693359375
77,2021-05-05,26.420257568359375
78,2021-06-04,25.712066650390625
79,2021-07-05,27.592132568359375
80,2021-08-05,27.682861328125
81,2021-09-04,24.988067626953125
82,2021-10-05,23.092529296875
83,2021-11-04,21.5106201171875
84,2021-12-05,20.81097412109375
85,2022-01-04,20.7784423828125
86,2022-02-02,21.888214111328125
87,2022-03-05,25.11810302734375
88,2022-04-04,27.040771484375
89,2022-05-05,26.731231689453125
90,2022-06-04,26.230194091796875
91,2022-07-05,27.44268798828125
92,2022-08-05,27.3133544921875
93,2022-09-04,24.6405029296875
94,2022-10-05,21.98504638671875
95,2022-11-04,21.328704833984375
96,2022-12-05,21.51318359375
97,2023-01-04,20.483001708984375
98,2023-02-02,21.35089111328125
99,2023-03-05,22.65093994140625
100,2023-04-04,25.407745361328125
101,2023-05-05,25.204986572265625
102,2023-06-04,25.006927490234375
103,2023-07-05,25.28717041015625
104,2023-08-05,24.8076171875
105,2023-09-04,24.2176513671875
106,2023-10-05,22.05987548828125
107,2023-11-04,21.85064697265625
108,2023-12-05,19.954010009765625
109,2024-01-04,20.44146728515625
110,2024-02-02,22.512359619140625
111,2024-03-04,25.077484130859375
112,2024-04-03,26.671875
113,2024-05-04,27.095489501953125
114,2024-06-03,27.1611328125
115,2024-07-04,27.140289306640625
116,2024-08-04,28.929046630859375
117,2024-09-03,26.0260009765625
118,2024-10-04,23.62200927734375
119,2024-11-03,22.491668701171875
120,2024-12-04,22.435150146484375
121,2025-01-03,23.56524658203125
122,2025-02-01,25.369903564453125
123,2025-03-04,26.719024658203125
124,2025-04-03,27.7763671875
125,2025-05-04,25.62493896484375
126,2025-06-03,25.132843017578125
127,2025-07-04,25.530975341796875
128,2025-08-04,27.304534912109375
129,2025-09-03,24.43341064453125
130,2025-10-04,23.79693603515625
131,2025-11-03,22.314300537109375
132,2025-12-04,21.321075439453125
133,2026-01-03,21.80316162109375
134,2026-02-01,22.7119140625
135,2026-03-04,24.285491943359375
136,2026-04-03,26.613922119140625
137,2026-05-04,25.724365234375
138,2026-06-03,25.123260498046875
139,2026-07-04,25.43121337890625
140,2026-08-04,25.50811767578125
141,2026-09-03,23.835052490234375
