Downloaded from wid.world on 29-03-2024 at 21:35:55
Year;"agdpro_pall_992_i_MX
Mexico
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2022)
";"agdpro_pall_992_i_SV
El Salvador
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2022)
";"agdpro_pall_992_i_GT
Guatemala
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2022)
";"agdpro_pall_992_i_HN
Honduras
Gross domestic product
Total population | average income or wealth | adults | individual |  | ppp | constant (2022)
"
2000;25756.3203;10004.4511;11466.6468;7161.7909
2001;25156.2839;9928.3611;11404.3434;7089.5175
2002;24294.3003;9941.1956;11497.5738;7089.4539
2003;23141.6273;9977.5598;11442.6203;7145.9585
2004;23507.4018;9970.2259;11448.1912;7322.5266
2005;23739.7277;10164.2705;11471.7504;7494.1586
2006;24334.4384;10545.1785;11724.0189;7710.5337
2007;24595.6977;10658.0911;12084.092;7909.1999
2008;24376.2784;10767.9478;12094.5867;7968.268
2009;22722.3756;10419.5843;11774.3361;7517.7133
2010;23408.7018;10504.6889;11735.6817;7542.9855
2011;23879.3601;10757.0997;11841.4915;7578.5497
2012;24462.5683;10900.5705;11812.613;7637.8659
2013;24313.4049;10972.0767;11869.8847;7600.7686
2014;24456.888;10980.7857;12020.7643;7586.1447
2015;24730.9759;11064.0569;12143.0529;7632.8789
2016;24874.2108;11160.7736;12104.9017;7688.3085
2017;24918.1855;11227.6961;12120.2484;7819.3574
2018;25008.6026;11325.9407;12188.5539;7880.3274
2019;24541.0078;11447.104;12339.739;7853.0006
2020;22257.0855;10365.8019;11795.5771;6947.0696
2021;23019.5465;11269.408;12401.6111;7610.3928
2022;23390.8382;11618.6883;12659.5403;7938.3078
