,Date,Temperature Celsius
0,2014-12-07,25.040863037109375
1,2015-01-06,25.4010009765625
2,2015-02-04,26.581298828125
3,2015-03-07,27.6624755859375
4,2015-04-06,28.306304931640625
5,2015-05-07,26.805938720703125
6,2015-06-06,27.2042236328125
7,2015-07-07,27.250274658203125
8,2015-08-07,26.38092041015625
9,2015-09-06,26.384368896484375
10,2015-10-07,26.466064453125
11,2015-11-06,25.99639892578125
12,2015-12-07,24.856842041015625
13,2016-01-06,24.98382568359375
14,2016-02-04,26.79583740234375
15,2016-03-06,28.142669677734375
16,2016-04-05,29.042755126953125
17,2016-05-06,28.094696044921875
18,2016-06-05,29.05780029296875
19,2016-07-06,29.89776611328125
20,2016-08-06,29.43212890625
21,2016-09-05,27.47344970703125
22,2016-10-06,27.435150146484375
23,2016-11-05,26.889434814453125
24,2016-12-06,27.125091552734375
25,2017-01-05,26.6236572265625
26,2017-02-03,26.811248779296875
27,2017-03-06,28.743621826171875
28,2017-04-05,28.943450927734375
29,2017-05-06,28.7867431640625
30,2017-06-05,28.2799072265625
31,2017-07-06,28.786834716796875
32,2017-08-06,27.93365478515625
33,2017-09-05,27.252899169921875
34,2017-10-06,26.1796875
35,2017-11-05,26.70440673828125
36,2017-12-06,26.254974365234375
37,2018-01-05,25.98382568359375
38,2018-02-03,27.2188720703125
39,2018-03-06,28.803985595703125
40,2018-04-05,29.0977783203125
41,2018-05-06,27.981719970703125
42,2018-06-05,28.592193603515625
43,2018-07-06,28.103912353515625
44,2018-08-06,28.250640869140625
45,2018-09-05,27.045013427734375
46,2018-10-06,25.866912841796875
47,2018-11-05,26.904083251953125
48,2018-12-06,25.66754150390625
49,2019-01-05,25.455291748046875
50,2019-02-03,27.397613525390625
51,2019-03-06,28.310516357421875
52,2019-04-05,29.151275634765625
53,2019-05-06,28.15570068359375
54,2019-06-05,28.988739013671875
55,2019-07-06,28.966827392578125
56,2019-08-06,27.728546142578125
57,2019-09-05,26.277557373046875
58,2019-10-06,25.702667236328125
59,2019-11-05,26.115509033203125
60,2019-12-06,25.99530029296875
61,2020-01-05,26.937408447265625
62,2020-02-03,27.89208984375
63,2020-03-05,28.59912109375
64,2020-04-04,28.896453857421875
65,2020-05-05,27.712005615234375
66,2020-06-04,27.996673583984375
67,2020-07-05,27.3670654296875
68,2020-08-05,27.054656982421875
69,2020-09-04,25.872100830078125
70,2020-10-05,26.159027099609375
71,2020-11-04,25.97674560546875
72,2020-12-05,25.196929931640625
73,2021-01-04,25.578277587890625
74,2021-02-02,27.460968017578125
75,2021-03-05,28.39056396484375
76,2021-04-04,29.005706787109375
77,2021-05-05,28.381561279296875
78,2021-06-04,28.857330322265625
79,2021-07-05,29.79974365234375
80,2021-08-05,29.13507080078125
81,2021-09-04,26.43829345703125
82,2021-10-05,27.163482666015625
83,2021-11-04,25.3179931640625
84,2021-12-05,25.2645263671875
85,2022-01-04,26.046539306640625
86,2022-02-02,26.924224853515625
87,2022-03-05,28.177764892578125
88,2022-04-04,28.963409423828125
89,2022-05-05,28.0743408203125
90,2022-06-04,27.884002685546875
91,2022-07-05,30.04644775390625
92,2022-08-05,27.819732666015625
93,2022-09-04,26.29998779296875
94,2022-10-05,25.573944091796875
95,2022-11-04,26.6025390625
96,2022-12-05,26.060638427734375
97,2023-01-04,25.932769775390625
98,2023-02-02,26.27044677734375
99,2023-03-05,27.8841552734375
100,2023-04-04,28.522796630859375
101,2023-05-05,26.18951416015625
102,2023-06-04,26.7099609375
103,2023-07-05,27.1661376953125
104,2023-08-05,26.914886474609375
105,2023-09-04,26.138916015625
106,2023-10-05,25.5098876953125
107,2023-11-04,25.803436279296875
108,2023-12-05,25.561920166015625
109,2024-01-04,26.51995849609375
110,2024-02-02,26.46343994140625
111,2024-03-04,28.037109375
112,2024-04-03,28.262969970703125
113,2024-05-04,28.183563232421875
114,2024-06-03,27.841339111328125
115,2024-07-04,27.34228515625
116,2024-08-04,27.2685546875
117,2024-09-03,27.272216796875
118,2024-10-04,26.70941162109375
119,2024-11-03,26.6185302734375
120,2024-12-04,25.074981689453125
121,2025-01-03,26.508636474609375
122,2025-02-01,27.221282958984375
123,2025-03-04,29.110321044921875
124,2025-04-03,29.36798095703125
125,2025-05-04,27.987457275390625
126,2025-06-03,27.964813232421875
127,2025-07-04,29.682281494140625
128,2025-08-04,27.522491455078125
129,2025-09-03,28.5062255859375
130,2025-10-04,26.90533447265625
131,2025-11-03,26.9337158203125
132,2025-12-04,26.33074951171875
133,2026-01-03,25.721588134765625
134,2026-02-01,27.742523193359375
135,2026-03-04,28.434478759765625
136,2026-04-03,28.947845458984375
137,2026-05-04,28.126495361328125
138,2026-06-03,27.89068603515625
139,2026-07-04,26.667938232421875
140,2026-08-04,26.4573974609375
141,2026-09-03,26.574798583984375
142,2026-10-04,26.37506103515625
143,2026-11-03,25.456817626953125
144,2026-12-04,25.4874267578125
145,2027-01-03,26.26995849609375
146,2027-02-01,26.9263916015625
147,2027-03-04,26.968841552734375
148,2027-04-03,29.2772216796875
149,2027-05-04,28.779449462890625
150,2027-06-03,28.414794921875
151,2027-07-04,29.521697998046875
152,2027-08-04,28.78826904296875
153,2027-09-03,26.020721435546875
154,2027-10-04,26.755889892578125
155,2027-11-03,25.77288818359375
156,2027-12-04,26.184112548828125
157,2028-01-03,26.34332275390625
158,2028-02-01,27.53204345703125
159,2028-03-03,28.7105712890625
160,2028-04-02,28.6593017578125
161,2028-05-03,29.29559326171875
162,2028-06-02,29.3253173828125
163,2028-07-03,30.036529541015625
