YYYYMM, LAT, LON, TAS
201501,   24.50,  260.62,  285.90
201501,   24.50,  261.88,  290.05
201501,   24.50,  263.12,  292.96
201501,   25.50,  260.62,  286.61
201501,   25.50,  261.88,  289.58
201501,   25.50,  263.12,  292.17
201501,   26.50,  260.62,  287.06
201501,   26.50,  261.88,  288.23
201501,   26.50,  263.12,  291.08
201501,   27.50,  260.62,  286.26
201501,   27.50,  261.88,  286.69
201501,   27.50,  263.12,  289.39
201502,   24.50,  260.62,  286.93
201502,   24.50,  261.88,  290.82
201502,   24.50,  263.12,  292.64
201502,   25.50,  260.62,  288.62
201502,   25.50,  261.88,  290.57
201502,   25.50,  263.12,  291.99
201502,   26.50,  260.62,  289.61
201502,   26.50,  261.88,  289.60
201502,   26.50,  263.12,  291.04
201502,   27.50,  260.62,  289.07
201502,   27.50,  261.88,  288.69
201502,   27.50,  263.12,  289.82
201503,   24.50,  260.62,  292.52
201503,   24.50,  261.88,  296.03
201503,   24.50,  263.12,  295.23
201503,   25.50,  260.62,  294.49
201503,   25.50,  261.88,  295.95
201503,   25.50,  263.12,  294.97
201503,   26.50,  260.62,  295.58
201503,   26.50,  261.88,  295.02
201503,   26.50,  263.12,  294.46
201503,   27.50,  260.62,  295.08
201503,   27.50,  261.88,  294.33
201503,   27.50,  263.12,  293.80
201504,   24.50,  260.62,  296.86
201504,   24.50,  261.88,  299.37
201504,   24.50,  263.12,  297.57
201504,   25.50,  260.62,  298.52
201504,   25.50,  261.88,  299.27
201504,   25.50,  263.12,  297.14
201504,   26.50,  260.62,  299.27
201504,   26.50,  261.88,  298.18
201504,   26.50,  263.12,  296.63
201504,   27.50,  260.62,  298.40
201504,   27.50,  261.88,  297.29
201504,   27.50,  263.12,  296.02
201505,   24.50,  260.62,  298.92
201505,   24.50,  261.88,  301.20
201505,   24.50,  263.12,  299.70
201505,   25.50,  260.62,  301.61
201505,   25.50,  261.88,  301.34
201505,   25.50,  263.12,  299.40
201505,   26.50,  260.62,  302.45
201505,   26.50,  261.88,  300.69
201505,   26.50,  263.12,  299.16
201505,   27.50,  260.62,  302.05
