YYYYMM, LAT, LON, TAS
201501,   29.50,  248.12,  286.85
201501,   29.50,  249.37,  285.41
201501,   29.50,  250.62,  283.02
201501,   30.50,  248.12,  285.31
201501,   30.50,  249.37,  282.41
201501,   30.50,  250.62,  280.11
201501,   31.50,  248.12,  283.99
201501,   31.50,  249.37,  280.44
201501,   31.50,  250.62,  278.41
201501,   32.50,  248.12,  283.73
201501,   32.50,  249.37,  280.75
201501,   32.50,  250.62,  277.99
201502,   29.50,  248.12,  288.83
201502,   29.50,  249.37,  287.57
201502,   29.50,  250.62,  285.11
201502,   30.50,  248.12,  287.18
201502,   30.50,  249.37,  284.45
201502,   30.50,  250.62,  282.38
201502,   31.50,  248.12,  285.28
201502,   31.50,  249.37,  282.06
201502,   31.50,  250.62,  280.43
201502,   32.50,  248.12,  285.21
201502,   32.50,  249.37,  282.18
201502,   32.50,  250.62,  279.65
201503,   29.50,  248.12,  292.22
201503,   29.50,  249.37,  291.55
201503,   29.50,  250.62,  288.96
201503,   30.50,  248.12,  290.90
201503,   30.50,  249.37,  288.61
201503,   30.50,  250.62,  286.74
201503,   31.50,  248.12,  289.21
201503,   31.50,  249.37,  286.28
201503,   31.50,  250.62,  285.26
201503,   32.50,  248.12,  289.52
201503,   32.50,  249.37,  286.71
201503,   32.50,  250.62,  284.57
201504,   29.50,  248.12,  292.86
201504,   29.50,  249.37,  292.09
201504,   29.50,  250.62,  289.38
201504,   30.50,  248.12,  291.11
201504,   30.50,  249.37,  289.03
201504,   30.50,  250.62,  287.60
201504,   31.50,  248.12,  290.08
201504,   31.50,  249.37,  287.30
201504,   31.50,  250.62,  286.73
201504,   32.50,  248.12,  291.36
201504,   32.50,  249.37,  288.41
201504,   32.50,  250.62,  286.30
201505,   29.50,  248.12,  295.54
201505,   29.50,  249.37,  296.07
201505,   29.50,  250.62,  294.10
201505,   30.50,  248.12,  294.48
201505,   30.50,  249.37,  293.84
201505,   30.50,  250.62,  293.22
201505,   31.50,  248.12,  294.07
201505,   31.50,  249.37,  292.79
201505,   31.50,  250.62,  292.98
201505,   32.50,  248.12,  295.92
201505,   32.50,  249.37,  294.04
201505,   32.50,  250.62,  292.51
201506,   29.50,  248.12,  300.87
201506,   29.50,  249.37,  302.25
201506,   29.50,  250.62,  299.85
201506,   30.50,  248.12,  300.28
201506,   30.50,  249.37,  300.03
201506,   30.50,  250.62,  298.97
201506,   31.50,  248.12,  300.28
201506,   31.50,  249.37,  298.95
201506,   31.50,  250.62,  298.63
201506,   32.50,  248.12,  302.46
201506,   32.50,  249.37,  300.27
201506,   32.50,  250.62,  297.98
201507,   29.50,  248.12,  304.11
201507,   29.50,  249.37,  303.42
201507,   29.50,  250.62,  298.70
201507,   30.50,  248.12,  303.84
201507,   30.50,  249.37,  301.43
201507,   30.50,  250.62,  299.19
201507,   31.50,  248.12,  304.02
201507,   31.50,  249.37,  301.23
201507,   31.50,  250.62,  300.87
201507,   32.50,  248.12,  306.05
201507,   32.50,  249.37,  303.30
201507,   32.50,  250.62,  301.41
201508,   29.50,  248.12,  304.84
201508,   29.50,  249.37,  304.04
201508,   29.50,  250.62,  299.08
201508,   30.50,  248.12,  304.70
201508,   30.50,  249.37,  302.82
201508,   30.50,  250.62,  300.61
201508,   31.50,  248.12,  304.65
201508,   31.50,  249.37,  302.46
201508,   31.50,  250.62,  302.03
201508,   32.50,  248.12,  306.60
201508,   32.50,  249.37,  304.22
201508,   32.50,  250.62,  302.40
201509,   29.50,  248.12,  304.31
201509,   29.50,  249.37,  302.13
201509,   29.50,  250.62,  298.22
201509,   30.50,  248.12,  302.73
201509,   30.50,  249.37,  299.63
201509,   30.50,  250.62,  297.93
201509,   31.50,  248.12,  301.95
201509,   31.50,  249.37,  298.52
201509,   31.50,  250.62,  298.10
201509,   32.50,  248.12,  303.27
201509,   32.50,  249.37,  300.47
201509,   32.50,  250.62,  298.01
201510,   29.50,  248.12,  300.89
201510,   29.50,  249.37,  299.55
201510,   29.50,  250.62,  296.21
201510,   30.50,  248.12,  298.62
201510,   30.50,  249.37,  296.37
201510,   30.50,  250.62,  294.67
201510,   31.50,  248.12,  297.81
201510,   31.50,  249.37,  294.53
201510,   31.50,  250.62,  293.70
201510,   32.50,  248.12,  298.67
201510,   32.50,  249.37,  295.43
201510,   32.50,  250.62,  293.21
201511,   29.50,  248.12,  290.50
201511,   29.50,  249.37,  288.33
201511,   29.50,  250.62,  285.74
201511,   30.50,  248.12,  287.20
201511,   30.50,  249.37,  284.57
201511,   30.50,  250.62,  282.99
201511,   31.50,  248.12,  285.02
201511,   31.50,  249.37,  282.18
201511,   31.50,  250.62,  280.96
201511,   32.50,  248.12,  285.30
201511,   32.50,  249.37,  282.62
201511,   32.50,  250.62,  279.92
201512,   29.50,  248.12,  286.17
201512,   29.50,  249.37,  283.68
201512,   29.50,  250.62,  281.09
201512,   30.50,  248.12,  283.04
201512,   30.50,  249.37,  279.84
201512,   30.50,  250.62,  277.88
201512,   31.50,  248.12,  281.32
201512,   31.50,  249.37,  277.79
201512,   31.50,  250.62,  276.16
201512,   32.50,  248.12,  281.03
201512,   32.50,  249.37,  278.34
201512,   32.50,  250.62,  275.70
201601,   29.50,  248.12,  286.07
201601,   29.50,  249.37,  283.91
201601,   29.50,  250.62,  281.47
201601,   30.50,  248.12,  283.45
201601,   30.50,  249.37,  280.80
201601,   30.50,  250.62,  279.00
201601,   31.50,  248.12,  281.72
201601,   31.50,  249.37,  278.79
201601,   31.50,  250.62,  277.24
201601,   32.50,  248.12,  281.69
201601,   32.50,  249.37,  279.01
201601,   32.50,  250.62,  276.53
201602,   29.50,  248.12,  287.21
201602,   29.50,  249.37,  285.32
201602,   29.50,  250.62,  282.57
201602,   30.50,  248.12,  284.91
201602,   30.50,  249.37,  282.39
201602,   30.50,  250.62,  280.50
201602,   31.50,  248.12,  283.23
201602,   31.50,  249.37,  280.38
201602,   31.50,  250.62,  279.06
201602,   32.50,  248.12,  283.23
201602,   32.50,  249.37,  280.65
201602,   32.50,  250.62,  278.24
201603,   29.50,  248.12,  290.16
201603,   29.50,  249.37,  288.59
201603,   29.50,  250.62,  286.01
201603,   30.50,  248.12,  288.54
