YYYYMM, LAT, LON, TAS
201501,   30.50,  241.88,  287.88
201501,   30.50,  243.13,  288.40
201501,   30.50,  244.38,  286.32
201501,   31.50,  241.88,  287.60
201501,   31.50,  243.13,  287.30
201501,   31.50,  244.38,  284.39
201501,   32.50,  241.88,  287.48
201501,   32.50,  243.13,  285.57
201501,   32.50,  244.38,  283.82
201501,   33.50,  241.88,  286.29
201501,   33.50,  243.13,  282.79
201501,   33.50,  244.38,  284.25
201502,   30.50,  241.88,  287.77
201502,   30.50,  243.13,  288.03
201502,   30.50,  244.38,  287.01
201502,   31.50,  241.88,  287.39
201502,   31.50,  243.13,  287.16
201502,   31.50,  244.38,  285.59
201502,   32.50,  241.88,  287.34
201502,   32.50,  243.13,  285.85
201502,   32.50,  244.38,  285.36
201502,   33.50,  241.88,  286.42
201502,   33.50,  243.13,  283.67
201502,   33.50,  244.38,  285.61
201503,   30.50,  241.88,  288.66
201503,   30.50,  243.13,  289.16
201503,   30.50,  244.38,  289.80
201503,   31.50,  241.88,  288.39
201503,   31.50,  243.13,  288.69
201503,   31.50,  244.38,  288.86
201503,   32.50,  241.88,  288.37
201503,   32.50,  243.13,  287.84
201503,   32.50,  244.38,  289.11
201503,   33.50,  241.88,  288.27
201503,   33.50,  243.13,  286.53
201503,   33.50,  244.38,  289.32
201504,   30.50,  241.88,  288.76
201504,   30.50,  243.13,  288.75
201504,   30.50,  244.38,  289.44
201504,   31.50,  241.88,  288.50
201504,   31.50,  243.13,  288.16
201504,   31.50,  244.38,  289.03
201504,   32.50,  241.88,  288.35
201504,   32.50,  243.13,  287.74
201504,   32.50,  244.38,  290.24
201504,   33.50,  241.88,  288.46
201504,   33.50,  243.13,  287.35
201504,   33.50,  244.38,  291.02
201505,   30.50,  241.88,  289.29
201505,   30.50,  243.13,  289.30
201505,   30.50,  244.38,  290.81
201505,   31.50,  241.88,  289.04
201505,   31.50,  243.13,  288.72
201505,   31.50,  244.38,  291.30
201505,   32.50,  241.88,  288.89
201505,   32.50,  243.13,  288.48
201505,   32.50,  244.38,  292.92
201505,   33.50,  241.88,  289.69
201505,   33.50,  243.13,  289.80
201505,   33.50,  244.38,  295.29
201506,   30.50,  241.88,  291.88
201506,   30.50,  243.13,  292.21
201506,   30.50,  244.38,  295.65
201506,   31.50,  241.88,  291.72
201506,   31.50,  243.13,  292.00
201506,   31.50,  244.38,  296.93
201506,   32.50,  241.88,  291.80
201506,   32.50,  243.13,  292.44
201506,   32.50,  244.38,  298.59
201506,   33.50,  241.88,  293.23
201506,   33.50,  243.13,  294.81
201506,   33.50,  244.38,  301.27
201507,   30.50,  241.88,  293.88
201507,   30.50,  243.13,  294.77
201507,   30.50,  244.38,  300.16
201507,   31.50,  241.88,  293.66
201507,   31.50,  243.13,  294.92
201507,   31.50,  244.38,  301.96
201507,   32.50,  241.88,  293.55
201507,   32.50,  243.13,  296.07
201507,   32.50,  244.38,  303.79
201507,   33.50,  241.88,  295.78
201507,   33.50,  243.13,  299.22
201507,   33.50,  244.38,  306.25
201508,   30.50,  241.88,  294.93
201508,   30.50,  243.13,  295.67
201508,   30.50,  244.38,  301.22
201508,   31.50,  241.88,  294.55
201508,   31.50,  243.13,  295.71
201508,   31.50,  244.38,  302.52
201508,   32.50,  241.88,  294.32
201508,   32.50,  243.13,  296.53
201508,   32.50,  244.38,  304.16
201508,   33.50,  241.88,  295.94
201508,   33.50,  243.13,  299.34
201508,   33.50,  244.38,  306.12
201509,   30.50,  241.88,  295.57
201509,   30.50,  243.13,  296.01
201509,   30.50,  244.38,  300.32
