YYYYMM, LAT, LON, TAS
201501,   29.50,  248.12,  284.67
201501,   29.50,  249.37,  283.30
201501,   29.50,  250.62,  280.96
201501,   30.50,  248.12,  282.59
201501,   30.50,  249.37,  280.03
201501,   30.50,  250.62,  278.09
201501,   31.50,  248.12,  280.97
201501,   31.50,  249.37,  277.87
201501,   31.50,  250.62,  276.36
201501,   32.50,  248.12,  280.64
201501,   32.50,  249.37,  278.18
201501,   32.50,  250.62,  275.77
201502,   29.50,  248.12,  289.68
201502,   29.50,  249.37,  288.71
201502,   29.50,  250.62,  286.31
201502,   30.50,  248.12,  288.40
201502,   30.50,  249.37,  286.11
201502,   30.50,  250.62,  284.36
201502,   31.50,  248.12,  286.91
201502,   31.50,  249.37,  284.21
201502,   31.50,  250.62,  282.67
201502,   32.50,  248.12,  286.59
201502,   32.50,  249.37,  284.47
201502,   32.50,  250.62,  281.96
201503,   29.50,  248.12,  293.37
201503,   29.50,  249.37,  292.58
201503,   29.50,  250.62,  289.80
201503,   30.50,  248.12,  291.96
201503,   30.50,  249.37,  289.55
201503,   30.50,  250.62,  287.87
201503,   31.50,  248.12,  290.58
201503,   31.50,  249.37,  287.35
201503,   31.50,  250.62,  286.27
201503,   32.50,  248.12,  291.40
201503,   32.50,  249.37,  288.16
201503,   32.50,  250.62,  285.69
201504,   29.50,  248.12,  294.37
201504,   29.50,  249.37,  294.30
201504,   29.50,  250.62,  292.01
201504,   30.50,  248.12,  292.85
201504,   30.50,  249.37,  291.37
201504,   30.50,  250.62,  290.32
201504,   31.50,  248.12,  292.00
201504,   31.50,  249.37,  289.71
201504,   31.50,  250.62,  289.30
201504,   32.50,  248.12,  292.96
201504,   32.50,  249.37,  290.37
201504,   32.50,  250.62,  288.35
201505,   29.50,  248.12,  297.42
201505,   29.50,  249.37,  297.62
201505,   29.50,  250.62,  294.75
201505,   30.50,  248.12,  296.45
201505,   30.50,  249.37,  294.99
201505,   30.50,  250.62,  293.41
201505,   31.50,  248.12,  295.96
201505,   31.50,  249.37,  293.68
201505,   31.50,  250.62,  293.13
201505,   32.50,  248.12,  297.44
201505,   32.50,  249.37,  295.02
201505,   32.50,  250.62,  292.85
201506,   29.50,  248.12,  299.64
201506,   29.50,  249.37,  301.28
201506,   29.50,  250.62,  299.69
201506,   30.50,  248.12,  298.65
201506,   30.50,  249.37,  298.73
201506,   30.50,  250.62,  298.63
201506,   31.50,  248.12,  298.30
201506,   31.50,  249.37,  297.68
201506,   31.50,  250.62,  298.47
201506,   32.50,  248.12,  300.16
201506,   32.50,  249.37,  298.99
201506,   32.50,  250.62,  298.13
201507,   29.50,  248.12,  304.16
201507,   29.50,  249.37,  304.54
201507,   29.50,  250.62,  300.32
201507,   30.50,  248.12,  303.70
201507,   30.50,  249.37,  302.67
201507,   30.50,  250.62,  301.09
201507,   31.50,  248.12,  303.71
201507,   31.50,  249.37,  302.36
201507,   31.50,  250.62,  302.32
201507,   32.50,  248.12,  306.11
201507,   32.50,  249.37,  304.18
201507,   32.50,  250.62,  302.55
201508,   29.50,  248.12,  307.03
201508,   29.50,  249.37,  306.25
201508,   29.50,  250.62,  301.40
201508,   30.50,  248.12,  306.64
201508,   30.50,  249.37,  304.32
201508,   30.50,  250.62,  301.74
201508,   31.50,  248.12,  306.39
201508,   31.50,  249.37,  303.52
