YYYYMM, LAT, LON, TAS
201601,   27.50,  261.88,  290.99
201601,   27.50,  263.12,  292.80
201602,   24.50,  260.62,  285.75
201602,   24.50,  261.88,  288.59
201602,   24.50,  263.12,  291.99
201602,   25.50,  260.62,  285.73
201602,   25.50,  261.88,  287.68
201602,   25.50,  263.12,  290.89
201602,   26.50,  260.62,  285.85
201602,   26.50,  261.88,  286.51
201602,   26.50,  263.12,  289.72
201602,   27.50,  260.62,  284.93
201602,   27.50,  261.88,  285.15
201602,   27.50,  263.12,  288.00
201603,   24.50,  260.62,  289.09
201603,   24.50,  261.88,  291.77
201603,   24.50,  263.12,  293.41
201603,   25.50,  260.62,  289.42
201603,   25.50,  261.88,  291.28
201603,   25.50,  263.12,  292.62
201603,   26.50,  260.62,  289.87
201603,   26.50,  261.88,  290.19
201603,   26.50,  263.12,  291.61
201603,   27.50,  260.62,  289.18
201603,   27.50,  261.88,  288.84
201603,   27.50,  263.12,  290.09
201604,   24.50,  260.62,  294.26
201604,   24.50,  261.88,  297.86
201604,   24.50,  263.12,  296.94
201604,   25.50,  260.62,  295.70
201604,   25.50,  261.88,  297.66
201604,   25.50,  263.12,  296.55
201604,   26.50,  260.62,  296.78
201604,   26.50,  261.88,  296.73
201604,   26.50,  263.12,  296.09
201604,   27.50,  260.62,  296.41
201604,   27.50,  261.88,  295.66
201604,   27.50,  263.12,  295.23
201605,   24.50,  260.62,  297.57
201605,   24.50,  261.88,  300.08
201605,   24.50,  263.12,  299.39
201605,   25.50,  260.62,  299.13
201605,   25.50,  261.88,  299.87
201605,   25.50,  263.12,  298.93
201605,   26.50,  260.62,  299.81
201605,   26.50,  261.88,  299.18
201605,   26.50,  263.12,  298.50
201605,   27.50,  260.62,  299.02
201605,   27.50,  261.88,  298.43
201605,   27.50,  263.12,  297.96
201606,   24.50,  260.62,  300.16
201606,   24.50,  261.88,  302.99
201606,   24.50,  263.12,  301.58
201606,   25.50,  260.62,  303.01
201606,   25.50,  261.88,  303.23
201606,   25.50,  263.12,  301.33
201606,   26.50,  260.62,  303.68
201606,   26.50,  261.88,  302.62
201606,   26.50,  263.12,  301.20
201606,   27.50,  260.62,  303.45
201606,   27.50,  261.88,  302.29
201606,   27.50,  263.12,  301.15
201607,   24.50,  260.62,  299.83
201607,   24.50,  261.88,  302.35
201607,   24.50,  263.12,  301.93
201607,   25.50,  260.62,  303.19
201607,   25.50,  261.88,  302.95
201607,   25.50,  263.12,  301.76
201607,   26.50,  260.62,  304.46
201607,   26.50,  261.88,  302.91
201607,   26.50,  263.12,  301.68
201607,   27.50,  260.62,  304.29
201607,   27.50,  261.88,  302.76
201607,   27.50,  263.12,  301.67
201608,   24.50,  260.62,  300.68
201608,   24.50,  261.88,  304.16
201608,   24.50,  263.12,  302.93
201608,   25.50,  260.62,  303.59
201608,   25.50,  261.88,  304.44
201608,   25.50,  263.12,  302.83
201608,   26.50,  260.62,  304.90
201608,   26.50,  261.88,  303.91
201608,   26.50,  263.12,  302.69
201608,   27.50,  260.62,  304.58
201608,   27.50,  261.88,  303.23
201608,   27.50,  263.12,  302.50
201609,   24.50,  260.62,  294.10
201609,   24.50,  261.88,  298.21
201609,   24.50,  263.12,  300.08
201609,   25.50,  260.62,  295.78
201609,   25.50,  261.88,  298.31
201609,   25.50,  263.12,  299.90
201609,   26.50,  260.62,  296.58
201609,   26.50,  261.88,  297.89
201609,   26.50,  263.12,  299.67
201609,   27.50,  260.62,  296.82
201609,   27.50,  261.88,  297.50
201609,   27.50,  263.12,  299.21
201610,   24.50,  260.62,  291.32
201610,   24.50,  261.88,  295.27
201610,   24.50,  263.12,  297.60
201610,   25.50,  260.62,  292.86
201610,   25.50,  261.88,  295.30
201610,   25.50,  263.12,  297.03
201610,   26.50,  260.62,  293.92
201610,   26.50,  261.88,  294.47
201610,   26.50,  263.12,  296.44
201610,   27.50,  260.62,  293.16
201610,   27.50,  261.88,  293.14
201610,   27.50,  263.12,  295.24
201611,   24.50,  260.62,  289.72
201611,   24.50,  261.88,  293.75
201611,   24.50,  263.12,  296.52
201611,   25.50,  260.62,  290.98
201611,   25.50,  261.88,  293.66
201611,   25.50,  263.12,  295.87
201611,   26.50,  260.62,  291.54
201611,   26.50,  261.88,  292.75
201611,   26.50,  263.12,  295.01
201611,   27.50,  260.62,  290.91
201611,   27.50,  261.88,  291.58
201611,   27.50,  263.12,  293.79
201612,   24.50,  260.62,  282.43
201612,   24.50,  261.88,  285.48
201612,   24.50,  263.12,  290.90
201612,   25.50,  260.62,  282.39
201612,   25.50,  261.88,  284.88
201612,   25.50,  263.12,  289.79
201612,   26.50,  260.62,  282.77
201612,   26.50,  261.88,  284.07
201612,   26.50,  263.12,  288.61
201612,   27.50,  260.62,  281.91
201612,   27.50,  261.88,  282.69
201612,   27.50,  263.12,  286.33
201701,   24.50,  260.62,  283.05
201701,   24.50,  261.88,  286.60
201701,   24.50,  263.12,  290.54
201701,   25.50,  260.62,  283.84
201701,   25.50,  261.88,  285.69
201701,   25.50,  263.12,  289.22
201701,   26.50,  260.62,  284.25
201701,   26.50,  261.88,  284.79
201701,   26.50,  263.12,  288.09
201701,   27.50,  260.62,  283.64
201701,   27.50,  261.88,  283.92
201701,   27.50,  263.12,  286.33
201702,   24.50,  260.62,  286.98
201702,   24.50,  261.88,  290.80
201702,   24.50,  263.12,  292.49
201702,   25.50,  260.62,  288.38
201702,   25.50,  261.88,  290.21
201702,   25.50,  263.12,  291.70
201702,   26.50,  260.62,  288.97
201702,   26.50,  261.88,  289.09
201702,   26.50,  263.12,  290.88
201702,   27.50,  260.62,  287.92
201702,   27.50,  261.88,  288.25
201702,   27.50,  263.12,  290.05
201703,   24.50,  260.62,  288.69
201703,   24.50,  261.88,  292.24
201703,   24.50,  263.12,  293.61
201703,   25.50,  260.62,  290.12
201703,   25.50,  261.88,  292.09
201703,   25.50,  263.12,  292.92
201703,   26.50,  260.62,  291.55
201703,   26.50,  261.88,  291.38
201703,   26.50,  263.12,  292.29
201703,   27.50,  260.62,  290.32
201703,   27.50,  261.88,  290.13
201703,   27.50,  263.12,  291.26
201704,   24.50,  260.62,  292.34
201704,   24.50,  261.88,  295.65
201704,   24.50,  263.12,  296.37
201704,   25.50,  260.62,  294.23
201704,   25.50,  261.88,  295.66
201704,   25.50,  263.12,  295.89
201704,   26.50,  260.62,  294.95
201704,   26.50,  261.88,  294.89
201704,   26.50,  263.12,  295.46
201704,   27.50,  260.62,  294.07
201704,   27.50,  261.88,  293.88
201704,   27.50,  263.12,  294.69
201705,   24.50,  260.62,  296.67
201705,   24.50,  261.88,  299.85
201705,   24.50,  263.12,  299.32
201705,   25.50,  260.62,  298.79
201705,   25.50,  261.88,  299.67
201705,   25.50,  263.12,  299.03
201705,   26.50,  260.62,  299.63
201705,   26.50,  261.88,  299.04
201705,   26.50,  263.12,  298.97
201705,   27.50,  260.62,  298.76
201705,   27.50,  261.88,  298.20
201705,   27.50,  263.12,  298.53
201706,   24.50,  260.62,  296.93
201706,   24.50,  261.88,  300.70
201706,   24.50,  263.12,  300.57
201706,   25.50,  260.62,  300.44
201706,   25.50,  261.88,  301.51
201706,   25.50,  263.12,  300.44
201706,   26.50,  260.62,  302.30
201706,   26.50,  261.88,  300.99
201706,   26.50,  263.12,  300.39
201706,   27.50,  260.62,  302.01
201706,   27.50,  261.88,  300.36
201706,   27.50,  263.12,  300.29
201707,   24.50,  260.62,  299.30
201707,   24.50,  261.88,  302.54
201707,   24.50,  263.12,  301.56
201707,   25.50,  260.62,  303.33
