YYYYMM, LAT, LON, TAS
201501,   29.50,  248.12,  283.37
201501,   29.50,  249.37,  281.61
201501,   29.50,  250.62,  279.30
201501,   30.50,  248.12,  281.07
201501,   30.50,  249.37,  278.53
201501,   30.50,  250.62,  276.57
201501,   31.50,  248.12,  279.57
201501,   31.50,  249.37,  276.46
201501,   31.50,  250.62,  274.95
201501,   32.50,  248.12,  279.41
201501,   32.50,  249.37,  276.81
201501,   32.50,  250.62,  274.31
201502,   29.50,  248.12,  287.91
201502,   29.50,  249.37,  286.88
201502,   29.50,  250.62,  284.44
201502,   30.50,  248.12,  286.19
201502,   30.50,  249.37,  283.52
201502,   30.50,  250.62,  281.58
201502,   31.50,  248.12,  284.40
201502,   31.50,  249.37,  281.12
201502,   31.50,  250.62,  279.57
201502,   32.50,  248.12,  284.17
201502,   32.50,  249.37,  281.39
201502,   32.50,  250.62,  278.54
201503,   29.50,  248.12,  289.70
201503,   29.50,  249.37,  288.92
201503,   29.50,  250.62,  286.63
201503,   30.50,  248.12,  288.04
201503,   30.50,  249.37,  285.95
201503,   30.50,  250.62,  284.76
201503,   31.50,  248.12,  286.46
201503,   31.50,  249.37,  283.83
201503,   31.50,  250.62,  283.38
201503,   32.50,  248.12,  286.84
201503,   32.50,  249.37,  284.19
201503,   32.50,  250.62,  282.24
201504,   29.50,  248.12,  293.62
201504,   29.50,  249.37,  293.63
201504,   29.50,  250.62,  291.20
201504,   30.50,  248.12,  292.27
201504,   30.50,  249.37,  290.81
201504,   30.50,  250.62,  289.68
201504,   31.50,  248.12,  291.05
201504,   31.50,  249.37,  288.86
201504,   31.50,  250.62,  288.60
201504,   32.50,  248.12,  291.79
201504,   32.50,  249.37,  289.41
201504,   32.50,  250.62,  287.69
201505,   29.50,  248.12,  298.23
201505,   29.50,  249.37,  298.52
201505,   29.50,  250.62,  295.79
201505,   30.50,  248.12,  297.56
201505,   30.50,  249.37,  295.82
201505,   30.50,  250.62,  294.16
201505,   31.50,  248.12,  297.13
201505,   31.50,  249.37,  294.29
201505,   31.50,  250.62,  293.35
201505,   32.50,  248.12,  298.60
201505,   32.50,  249.37,  295.52
201505,   32.50,  250.62,  293.04
201506,   29.50,  248.12,  301.27
201506,   29.50,  249.37,  302.99
201506,   29.50,  250.62,  301.11
201506,   30.50,  248.12,  300.36
201506,   30.50,  249.37,  300.26
201506,   30.50,  250.62,  299.84
201506,   31.50,  248.12,  299.77
201506,   31.50,  249.37,  298.83
201506,   31.50,  250.62,  299.17
201506,   32.50,  248.12,  301.44
201506,   32.50,  249.37,  299.96
201506,   32.50,  250.62,  298.49
201507,   29.50,  248.12,  304.27
201507,   29.50,  249.37,  305.10
201507,   29.50,  250.62,  301.69
201507,   30.50,  248.12,  304.12
201507,   30.50,  249.37,  303.18
201507,   30.50,  250.62,  301.74
201507,   31.50,  248.12,  304.48
201507,   31.50,  249.37,  302.83
201507,   31.50,  250.62,  302.40
201507,   32.50,  248.12,  306.68
201507,   32.50,  249.37,  304.50
201507,   32.50,  250.62,  302.46
201508,   29.50,  248.12,  306.66
201508,   29.50,  249.37,  305.98
201508,   29.50,  250.62,  301.96
201508,   30.50,  248.12,  306.48
201508,   30.50,  249.37,  304.39
201508,   30.50,  250.62,  302.41
201508,   31.50,  248.12,  306.69
201508,   31.50,  249.37,  303.97
201508,   31.50,  250.62,  303.20
201508,   32.50,  248.12,  308.48
201508,   32.50,  249.37,  306.00
201508,   32.50,  250.62,  303.29
201509,   29.50,  248.12,  302.49
201509,   29.50,  249.37,  300.21
201509,   29.50,  250.62,  297.52
201509,   30.50,  248.12,  301.25
201509,   30.50,  249.37,  298.44
201509,   30.50,  250.62,  297.23
201509,   31.50,  248.12,  300.80
201509,   31.50,  249.37,  297.90
201509,   31.50,  250.62,  297.74
201509,   32.50,  248.12,  301.93
201509,   32.50,  249.37,  299.49
201509,   32.50,  250.62,  297.61
201510,   29.50,  248.12,  300.51
201510,   29.50,  249.37,  298.67
201510,   29.50,  250.62,  294.98
201510,   30.50,  248.12,  298.03
201510,   30.50,  249.37,  294.95
201510,   30.50,  250.62,  292.46
201510,   31.50,  248.12,  296.04
201510,   31.50,  249.37,  292.61
201510,   31.50,  250.62,  290.63
201510,   32.50,  248.12,  296.25
201510,   32.50,  249.37,  293.47
201510,   32.50,  250.62,  290.04
201511,   29.50,  248.12,  290.74
201511,   29.50,  249.37,  288.15
201511,   29.50,  250.62,  285.08
201511,   30.50,  248.12,  287.22
201511,   30.50,  249.37,  284.15
201511,   30.50,  250.62,  281.95
201511,   31.50,  248.12,  284.93
201511,   31.50,  249.37,  281.69
201511,   31.50,  250.62,  280.04
201511,   32.50,  248.12,  285.22
201511,   32.50,  249.37,  282.22
201511,   32.50,  250.62,  279.28
201512,   29.50,  248.12,  286.50
201512,   29.50,  249.37,  284.21
201512,   29.50,  250.62,  281.31
201512,   30.50,  248.12,  283.29
201512,   30.50,  249.37,  280.27
201512,   30.50,  250.62,  277.78
201512,   31.50,  248.12,  281.43
201512,   31.50,  249.37,  277.50
201512,   31.50,  250.62,  275.38
201512,   32.50,  248.12,  281.16
201512,   32.50,  249.37,  277.87
201512,   32.50,  250.62,  274.86
201601,   29.50,  248.12,  288.16
201601,   29.50,  249.37,  286.53
201601,   29.50,  250.62,  283.33
