YYYYMM, LAT, LON, TAS
201501,   30.50,  241.88,  286.16
201501,   30.50,  243.13,  286.05
201501,   30.50,  244.38,  282.42
201501,   31.50,  241.88,  285.69
201501,   31.50,  243.13,  284.30
201501,   31.50,  244.38,  280.07
201501,   32.50,  241.88,  285.28
201501,   32.50,  243.13,  281.87
201501,   32.50,  244.38,  279.68
201501,   33.50,  241.88,  283.09
201501,   33.50,  243.13,  278.32
201501,   33.50,  244.38,  279.92
201502,   30.50,  241.88,  286.49
201502,   30.50,  243.13,  286.78
201502,   30.50,  244.38,  285.42
201502,   31.50,  241.88,  286.01
201502,   31.50,  243.13,  285.58
201502,   31.50,  244.38,  283.65
201502,   32.50,  241.88,  285.69
201502,   32.50,  243.13,  283.91
201502,   32.50,  244.38,  283.46
201502,   33.50,  241.88,  284.32
201502,   33.50,  243.13,  281.15
201502,   33.50,  244.38,  283.58
201503,   30.50,  241.88,  287.07
201503,   30.50,  243.13,  287.31
201503,   30.50,  244.38,  286.93
201503,   31.50,  241.88,  286.66
201503,   31.50,  243.13,  286.48
201503,   31.50,  244.38,  285.99
201503,   32.50,  241.88,  286.51
201503,   32.50,  243.13,  285.09
201503,   32.50,  244.38,  286.23
201503,   33.50,  241.88,  285.75
201503,   33.50,  243.13,  283.56
201503,   33.50,  244.38,  286.65
201504,   30.50,  241.88,  288.06
201504,   30.50,  243.13,  288.38
201504,   30.50,  244.38,  289.70
201504,   31.50,  241.88,  287.81
201504,   31.50,  243.13,  287.89
201504,   31.50,  244.38,  289.36
201504,   32.50,  241.88,  287.79
201504,   32.50,  243.13,  287.27
201504,   32.50,  244.38,  290.07
201504,   33.50,  241.88,  287.91
201504,   33.50,  243.13,  286.82
201504,   33.50,  244.38,  290.92
201505,   30.50,  241.88,  290.70
201505,   30.50,  243.13,  291.32
201505,   30.50,  244.38,  294.48
201505,   31.50,  241.88,  290.42
201505,   31.50,  243.13,  291.18
201505,   31.50,  244.38,  295.63
201505,   32.50,  241.88,  290.38
201505,   32.50,  243.13,  291.61
201505,   32.50,  244.38,  297.26
201505,   33.50,  241.88,  291.94
201505,   33.50,  243.13,  293.68
201505,   33.50,  244.38,  298.78
201506,   30.50,  241.88,  292.22
201506,   30.50,  243.13,  292.65
201506,   30.50,  244.38,  296.14
201506,   31.50,  241.88,  291.87
201506,   31.50,  243.13,  292.25
201506,   31.50,  244.38,  296.60
201506,   32.50,  241.88,  291.73
201506,   32.50,  243.13,  292.34
201506,   32.50,  244.38,  297.82
201506,   33.50,  241.88,  293.08
201506,   33.50,  243.13,  293.99
201506,   33.50,  244.38,  299.86
201507,   30.50,  241.88,  294.28
201507,   30.50,  243.13,  295.24
201507,   30.50,  244.38,  300.43
201507,   31.50,  241.88,  293.96
201507,   31.50,  243.13,  295.43
201507,   31.50,  244.38,  302.11
201507,   32.50,  241.88,  293.79
201507,   32.50,  243.13,  296.60
201507,   32.50,  244.38,  303.83
201507,   33.50,  241.88,  296.62
201507,   33.50,  243.13,  300.11
201507,   33.50,  244.38,  306.48
201508,   30.50,  241.88,  295.26
201508,   30.50,  243.13,  296.53
201508,   30.50,  244.38,  303.39
201508,   31.50,  241.88,  294.63
201508,   31.50,  243.13,  296.78
201508,   31.50,  244.38,  304.69
201508,   32.50,  241.88,  294.25
201508,   32.50,  243.13,  298.26
201508,   32.50,  244.38,  306.14
201508,   33.50,  241.88,  297.04
201508,   33.50,  243.13,  301.28
201508,   33.50,  244.38,  307.67
201509,   30.50,  241.88,  296.15
201509,   30.50,  243.13,  296.79
201509,   30.50,  244.38,  300.19
201509,   31.50,  241.88,  295.53
201509,   31.50,  243.13,  296.50
