YYYYMM, LAT, LON, TAS
201501,   24.50,  260.62,  285.12
201501,   24.50,  261.88,  289.22
201501,   24.50,  263.12,  292.16
201501,   25.50,  260.62,  285.44
201501,   25.50,  261.88,  288.31
201501,   25.50,  263.12,  291.15
201501,   26.50,  260.62,  285.55
201501,   26.50,  261.88,  286.76
201501,   26.50,  263.12,  289.87
201501,   27.50,  260.62,  284.16
201501,   27.50,  261.88,  285.15
201501,   27.50,  263.12,  288.12
201502,   24.50,  260.62,  287.81
201502,   24.50,  261.88,  290.72
201502,   24.50,  263.12,  293.34
201502,   25.50,  260.62,  288.30
201502,   25.50,  261.88,  290.25
201502,   25.50,  263.12,  292.49
201502,   26.50,  260.62,  288.90
201502,   26.50,  261.88,  289.33
201502,   26.50,  263.12,  291.32
201502,   27.50,  260.62,  288.16
201502,   27.50,  261.88,  288.20
201502,   27.50,  263.12,  289.90
201503,   24.50,  260.62,  292.48
201503,   24.50,  261.88,  295.88
201503,   24.50,  263.12,  296.01
201503,   25.50,  260.62,  294.58
201503,   25.50,  261.88,  296.24
201503,   25.50,  263.12,  295.72
201503,   26.50,  260.62,  295.83
201503,   26.50,  261.88,  295.46
201503,   26.50,  263.12,  295.11
201503,   27.50,  260.62,  295.59
201503,   27.50,  261.88,  294.76
201503,   27.50,  263.12,  294.31
201504,   24.50,  260.62,  293.99
201504,   24.50,  261.88,  297.09
201504,   24.50,  263.12,  297.56
201504,   25.50,  260.62,  296.63
201504,   25.50,  261.88,  297.49
201504,   25.50,  263.12,  297.24
201504,   26.50,  260.62,  297.74
201504,   26.50,  261.88,  297.08
201504,   26.50,  263.12,  296.85
201504,   27.50,  260.62,  297.76
201504,   27.50,  261.88,  296.85
201504,   27.50,  263.12,  296.32
201505,   24.50,  260.62,  295.20
201505,   24.50,  261.88,  298.66
201505,   24.50,  263.12,  298.82
201505,   25.50,  260.62,  296.90
201505,   25.50,  261.88,  298.50
201505,   25.50,  263.12,  298.35
201505,   26.50,  260.62,  298.02
201505,   26.50,  261.88,  297.71
201505,   26.50,  263.12,  297.87
201505,   27.50,  260.62,  297.73
201505,   27.50,  261.88,  296.92
201505,   27.50,  263.12,  297.01
201506,   24.50,  260.62,  301.15
201506,   24.50,  261.88,  303.65
201506,   24.50,  263.12,  301.81
201506,   25.50,  260.62,  304.63
201506,   25.50,  261.88,  304.26
201506,   25.50,  263.12,  301.56
201506,   26.50,  260.62,  306.17
201506,   26.50,  261.88,  303.76
201506,   26.50,  263.12,  301.44
201506,   27.50,  260.62,  305.98
201506,   27.50,  261.88,  303.66
201506,   27.50,  263.12,  301.43
201507,   24.50,  260.62,  297.88
201507,   24.50,  261.88,  301.46
201507,   24.50,  263.12,  301.46
201507,   25.50,  260.62,  301.85
201507,   25.50,  261.88,  302.42
201507,   25.50,  263.12,  301.41
201507,   26.50,  260.62,  303.93
201507,   26.50,  261.88,  302.32
201507,   26.50,  263.12,  301.43
201507,   27.50,  260.62,  303.39
201507,   27.50,  261.88,  302.10
201507,   27.50,  263.12,  301.53
201508,   24.50,  260.62,  296.61
201508,   24.50,  261.88,  300.79
201508,   24.50,  263.12,  301.62
201508,   25.50,  260.62,  299.36
201508,   25.50,  261.88,  301.40
201508,   25.50,  263.12,  301.59
201508,   26.50,  260.62,  300.93
201508,   26.50,  261.88,  301.24
201508,   26.50,  263.12,  301.53
201508,   27.50,  260.62,  300.71
201508,   27.50,  261.88,  301.03
201508,   27.50,  263.12,  301.43
201509,   24.50,  260.62,  295.59
201509,   24.50,  261.88,  300.01
201509,   24.50,  263.12,  301.24
201509,   25.50,  260.62,  297.91
201509,   25.50,  261.88,  300.45
201509,   25.50,  263.12,  301.11
201509,   26.50,  260.62,  299.61
201509,   26.50,  261.88,  300.07
201509,   26.50,  263.12,  300.98
201509,   27.50,  260.62,  299.32
201509,   27.50,  261.88,  299.58
201509,   27.50,  263.12,  300.66
201510,   24.50,  260.62,  291.79
201510,   24.50,  261.88,  296.70
201510,   24.50,  263.12,  298.92
201510,   25.50,  260.62,  294.18
201510,   25.50,  261.88,  297.11
201510,   25.50,  263.12,  298.73
201510,   26.50,  260.62,  295.95
201510,   26.50,  261.88,  297.09
201510,   26.50,  263.12,  298.56
201510,   27.50,  260.62,  296.13
201510,   27.50,  261.88,  296.67
201510,   27.50,  263.12,  298.15
201511,   24.50,  260.62,  286.68
201511,   24.50,  261.88,  290.86
201511,   24.50,  263.12,  294.40
201511,   25.50,  260.62,  287.31
201511,   25.50,  261.88,  290.21
201511,   25.50,  263.12,  293.19
201511,   26.50,  260.62,  287.84
201511,   26.50,  261.88,  289.15
201511,   26.50,  263.12,  291.94
201511,   27.50,  260.62,  287.20
201511,   27.50,  261.88,  287.64
201511,   27.50,  263.12,  290.23
201512,   24.50,  260.62,  282.21
201512,   24.50,  261.88,  285.86
201512,   24.50,  263.12,  290.61
201512,   25.50,  260.62,  282.50
201512,   25.50,  261.88,  284.83
201512,   25.50,  263.12,  289.24
201512,   26.50,  260.62,  282.72
201512,   26.50,  261.88,  283.62
201512,   26.50,  263.12,  287.99
201512,   27.50,  260.62,  282.00
201512,   27.50,  261.88,  282.51
201512,   27.50,  263.12,  286.03
201601,   24.50,  260.62,  282.49
201601,   24.50,  261.88,  284.95
201601,   24.50,  263.12,  289.22
201601,   25.50,  260.62,  282.18
201601,   25.50,  261.88,  283.81
201601,   25.50,  263.12,  287.96
201601,   26.50,  260.62,  281.93
201601,   26.50,  261.88,  282.71
201601,   26.50,  263.12,  286.90
201601,   27.50,  260.62,  281.18
201601,   27.50,  261.88,  281.69
201601,   27.50,  263.12,  285.11
201602,   24.50,  260.62,  285.72
201602,   24.50,  261.88,  289.69
201602,   24.50,  263.12,  292.17
201602,   25.50,  260.62,  287.41
201602,   25.50,  261.88,  289.46
201602,   25.50,  263.12,  291.44
201602,   26.50,  260.62,  287.93
201602,   26.50,  261.88,  288.27
201602,   26.50,  263.12,  290.38
201602,   27.50,  260.62,  287.24
201602,   27.50,  261.88,  287.12
201602,   27.50,  263.12,  289.08
201603,   24.50,  260.62,  288.98
201603,   24.50,  261.88,  293.03
201603,   24.50,  263.12,  294.31
201603,   25.50,  260.62,  290.41
201603,   25.50,  261.88,  292.58
201603,   25.50,  263.12,  293.77
201603,   26.50,  260.62,  290.73
201603,   26.50,  261.88,  291.49
201603,   26.50,  263.12,  292.94
201603,   27.50,  260.62,  289.72
201603,   27.50,  261.88,  290.32
201603,   27.50,  263.12,  291.75
201604,   24.50,  260.62,  290.67
201604,   24.50,  261.88,  294.86
201604,   24.50,  263.12,  295.22
201604,   25.50,  260.62,  292.72
201604,   25.50,  261.88,  294.83
201604,   25.50,  263.12,  294.90
201604,   26.50,  260.62,  293.26
201604,   26.50,  261.88,  293.96
201604,   26.50,  263.12,  294.46
201604,   27.50,  260.62,  292.73
201604,   27.50,  261.88,  292.99
201604,   27.50,  263.12,  293.76
201605,   24.50,  260.62,  296.10
201605,   24.50,  261.88,  299.54
201605,   24.50,  263.12,  298.41
201605,   25.50,  260.62,  298.48
201605,   25.50,  261.88,  299.46
201605,   25.50,  263.12,  298.05
201605,   26.50,  260.62,  298.79
201605,   26.50,  261.88,  298.60
201605,   26.50,  263.12,  297.89
201605,   27.50,  260.62,  297.99
201605,   27.50,  261.88,  297.77
201605,   27.50,  263.12,  297.62
201606,   24.50,  260.62,  298.69
201606,   24.50,  261.88,  303.06
201606,   24.50,  263.12,  301.31
201606,   25.50,  260.62,  301.68
201606,   25.50,  261.88,  302.80
201606,   25.50,  263.12,  300.89
201606,   26.50,  260.62,  303.06
201606,   26.50,  261.88,  301.83
201606,   26.50,  263.12,  300.73
201606,   27.50,  260.62,  302.52
201606,   27.50,  261.88,  301.45
201606,   27.50,  263.12,  300.56
201607,   24.50,  260.62,  299.44
201607,   24.50,  261.88,  302.96
201607,   24.50,  263.12,  302.32
201607,   25.50,  260.62,  302.52
201607,   25.50,  261.88,  303.38
201607,   25.50,  263.12,  302.11
201607,   26.50,  260.62,  303.46
201607,   26.50,  261.88,  302.66
201607,   26.50,  263.12,  301.97
201607,   27.50,  260.62,  303.24
201607,   27.50,  261.88,  302.66
201607,   27.50,  263.12,  302.04
201608,   24.50,  260.62,  296.43
201608,   24.50,  261.88,  300.81
201608,   24.50,  263.12,  301.77
201608,   25.50,  260.62,  299.49
201608,   25.50,  261.88,  301.60
201608,   25.50,  263.12,  301.64
201608,   26.50,  260.62,  301.08
