YYYYMM, LAT, LON, TAS
201501,   24.50,  260.62,  288.03
201501,   24.50,  261.88,  291.66
201501,   24.50,  263.12,  294.35
201501,   25.50,  260.62,  288.38
201501,   25.50,  261.88,  291.09
201501,   25.50,  263.12,  293.73
201501,   26.50,  260.62,  288.38
201501,   26.50,  261.88,  289.83
201501,   26.50,  263.12,  292.71
201501,   27.50,  260.62,  287.27
201501,   27.50,  261.88,  288.28
201501,   27.50,  263.12,  290.95
201502,   24.50,  260.62,  288.29
201502,   24.50,  261.88,  292.09
201502,   24.50,  263.12,  294.43
201502,   25.50,  260.62,  289.56
201502,   25.50,  261.88,  292.00
201502,   25.50,  263.12,  293.94
201502,   26.50,  260.62,  290.55
201502,   26.50,  261.88,  291.43
201502,   26.50,  263.12,  293.17
201502,   27.50,  260.62,  290.31
201502,   27.50,  261.88,  290.58
201502,   27.50,  263.12,  291.92
201503,   24.50,  260.62,  290.00
201503,   24.50,  261.88,  292.88
201503,   24.50,  263.12,  294.73
201503,   25.50,  260.62,  291.58
201503,   25.50,  261.88,  293.11
201503,   25.50,  263.12,  294.38
201503,   26.50,  260.62,  292.88
201503,   26.50,  261.88,  292.84
201503,   26.50,  263.12,  293.86
201503,   27.50,  260.62,  293.29
201503,   27.50,  261.88,  292.44
201503,   27.50,  263.12,  292.99
201504,   24.50,  260.62,  293.23
201504,   24.50,  261.88,  296.45
201504,   24.50,  263.12,  296.28
201504,   25.50,  260.62,  295.42
201504,   25.50,  261.88,  296.67
201504,   25.50,  263.12,  296.10
201504,   26.50,  260.62,  297.30
201504,   26.50,  261.88,  296.40
201504,   26.50,  263.12,  295.87
201504,   27.50,  260.62,  297.52
201504,   27.50,  261.88,  296.35
201504,   27.50,  263.12,  295.58
201505,   24.50,  260.62,  297.63
201505,   24.50,  261.88,  300.06
201505,   24.50,  263.12,  299.23
201505,   25.50,  260.62,  300.31
201505,   25.50,  261.88,  300.52
201505,   25.50,  263.12,  299.07
201505,   26.50,  260.62,  301.48
201505,   26.50,  261.88,  300.00
201505,   26.50,  263.12,  298.77
201505,   27.50,  260.62,  300.88
201505,   27.50,  261.88,  299.26
201505,   27.50,  263.12,  298.32
201506,   24.50,  260.62,  298.64
201506,   24.50,  261.88,  301.79
201506,   24.50,  263.12,  300.91
201506,   25.50,  260.62,  302.33
201506,   25.50,  261.88,  302.79
201506,   25.50,  263.12,  300.87
201506,   26.50,  260.62,  303.75
201506,   26.50,  261.88,  302.51
201506,   26.50,  263.12,  300.83
201506,   27.50,  260.62,  303.52
201506,   27.50,  261.88,  301.76
201506,   27.50,  263.12,  300.72
201507,   24.50,  260.62,  301.09
201507,   24.50,  261.88,  303.98
201507,   24.50,  263.12,  302.17
201507,   25.50,  260.62,  305.05
201507,   25.50,  261.88,  304.80
201507,   25.50,  263.12,  301.99
201507,   26.50,  260.62,  306.75
201507,   26.50,  261.88,  304.66
201507,   26.50,  263.12,  301.97
201507,   27.50,  260.62,  306.93
201507,   27.50,  261.88,  304.65
201507,   27.50,  263.12,  302.10
201508,   24.50,  260.62,  298.17
201508,   24.50,  261.88,  302.21
201508,   24.50,  263.12,  302.07
201508,   25.50,  260.62,  301.13
201508,   25.50,  261.88,  302.27
201508,   25.50,  263.12,  301.91
201508,   26.50,  260.62,  302.47
201508,   26.50,  261.88,  302.13
201508,   26.50,  263.12,  301.83
201508,   27.50,  260.62,  302.59
201508,   27.50,  261.88,  302.23
201508,   27.50,  263.12,  301.64
201509,   24.50,  260.62,  296.56
201509,   24.50,  261.88,  301.31
201509,   24.50,  263.12,  301.75
201509,   25.50,  260.62,  299.82
201509,   25.50,  261.88,  301.84
201509,   25.50,  263.12,  301.70
201509,   26.50,  260.62,  301.63
201509,   26.50,  261.88,  301.73
201509,   26.50,  263.12,  301.67
201509,   27.50,  260.62,  302.18
201509,   27.50,  261.88,  302.19
201509,   27.50,  263.12,  301.52
201510,   24.50,  260.62,  292.68
201510,   24.50,  261.88,  297.42
201510,   24.50,  263.12,  298.47
201510,   25.50,  260.62,  295.33
