YYYYMM, LAT, LON, TAS
201501,   30.50,  241.88,  287.22
201501,   30.50,  243.13,  287.22
201501,   30.50,  244.38,  284.60
201501,   31.50,  241.88,  286.81
201501,   31.50,  243.13,  285.87
201501,   31.50,  244.38,  282.72
201501,   32.50,  241.88,  286.41
201501,   32.50,  243.13,  283.49
201501,   32.50,  244.38,  282.05
201501,   33.50,  241.88,  284.25
201501,   33.50,  243.13,  280.23
201501,   33.50,  244.38,  281.93
201502,   30.50,  241.88,  288.83
201502,   30.50,  243.13,  289.61
201502,   30.50,  244.38,  289.53
201502,   31.50,  241.88,  288.56
201502,   31.50,  243.13,  289.17
201502,   31.50,  244.38,  288.50
201502,   32.50,  241.88,  288.55
201502,   32.50,  243.13,  287.94
201502,   32.50,  244.38,  288.26
201502,   33.50,  241.88,  288.09
201502,   33.50,  243.13,  285.97
201502,   33.50,  244.38,  288.85
201503,   30.50,  241.88,  289.53
201503,   30.50,  243.13,  290.00
201503,   30.50,  244.38,  291.56
201503,   31.50,  241.88,  289.30
201503,   31.50,  243.13,  289.69
201503,   31.50,  244.38,  291.01
201503,   32.50,  241.88,  289.40
201503,   32.50,  243.13,  289.55
201503,   32.50,  244.38,  291.82
201503,   33.50,  241.88,  289.86
201503,   33.50,  243.13,  289.17
201503,   33.50,  244.38,  292.37
201504,   30.50,  241.88,  290.45
201504,   30.50,  243.13,  291.01
201504,   30.50,  244.38,  293.68
201504,   31.50,  241.88,  290.13
201504,   31.50,  243.13,  290.77
201504,   31.50,  244.38,  293.66
201504,   32.50,  241.88,  289.95
201504,   32.50,  243.13,  290.67
201504,   32.50,  244.38,  294.71
201504,   33.50,  241.88,  290.71
201504,   33.50,  243.13,  291.37
201504,   33.50,  244.38,  295.87
201505,   30.50,  241.88,  289.78
201505,   30.50,  243.13,  289.73
201505,   30.50,  244.38,  291.32
201505,   31.50,  241.88,  289.37
201505,   31.50,  243.13,  289.12
201505,   31.50,  244.38,  291.65
201505,   32.50,  241.88,  289.20
201505,   32.50,  243.13,  289.00
201505,   32.50,  244.38,  293.12
201505,   33.50,  241.88,  290.23
201505,   33.50,  243.13,  289.80
201505,   33.50,  244.38,  294.88
201506,   30.50,  241.88,  290.97
201506,   30.50,  243.13,  291.37
201506,   30.50,  244.38,  295.40
201506,   31.50,  241.88,  290.67
201506,   31.50,  243.13,  291.25
201506,   31.50,  244.38,  296.93
201506,   32.50,  241.88,  290.82
201506,   32.50,  243.13,  292.16
201506,   32.50,  244.38,  298.88
201506,   33.50,  241.88,  292.95
201506,   33.50,  243.13,  295.19
201506,   33.50,  244.38,  301.64
201507,   30.50,  241.88,  294.25
201507,   30.50,  243.13,  295.30
201507,   30.50,  244.38,  301.35
201507,   31.50,  241.88,  293.91
201507,   31.50,  243.13,  295.47
201507,   31.50,  244.38,  302.76
201507,   32.50,  241.88,  293.77
201507,   32.50,  243.13,  296.62
201507,   32.50,  244.38,  304.49
201507,   33.50,  241.88,  295.92
201507,   33.50,  243.13,  299.97
201507,   33.50,  244.38,  306.99
201508,   30.50,  241.88,  296.52
201508,   30.50,  243.13,  297.40
201508,   30.50,  244.38,  301.48
201508,   31.50,  241.88,  295.97
201508,   31.50,  243.13,  297.46
201508,   31.50,  244.38,  303.01
201508,   32.50,  241.88,  295.72
201508,   32.50,  243.13,  298.99
201508,   32.50,  244.38,  304.85
201508,   33.50,  241.88,  298.47
201508,   33.50,  243.13,  301.88
201508,   33.50,  244.38,  306.38
201509,   30.50,  241.88,  296.31
201509,   30.50,  243.13,  297.20
201509,   30.50,  244.38,  299.09
201509,   31.50,  241.88,  295.70
201509,   31.50,  243.13,  297.04
201509,   31.50,  244.38,  298.81
201509,   32.50,  241.88,  295.50
201509,   32.50,  243.13,  297.76
201509,   32.50,  244.38,  299.86
201509,   33.50,  241.88,  297.14
201509,   33.50,  243.13,  298.28
201509,   33.50,  244.38,  300.84
201510,   30.50,  241.88,  295.12
201510,   30.50,  243.13,  295.47
201510,   30.50,  244.38,  295.94
201510,   31.50,  241.88,  294.66
201510,   31.50,  243.13,  294.70
201510,   31.50,  244.38,  294.98
201510,   32.50,  241.88,  294.29
201510,   32.50,  243.13,  293.89
201510,   32.50,  244.38,  295.67
201510,   33.50,  241.88,  294.06
201510,   33.50,  243.13,  292.64
201510,   33.50,  244.38,  295.84
201511,   30.50,  241.88,  291.10
201511,   30.50,  243.13,  291.04
201511,   30.50,  244.38,  288.60
201511,   31.50,  241.88,  290.59
201511,   31.50,  243.13,  289.54
201511,   31.50,  244.38,  286.22
201511,   32.50,  241.88,  290.01
201511,   32.50,  243.13,  287.30
201511,   32.50,  244.38,  285.73
201511,   33.50,  241.88,  287.98
201511,   33.50,  243.13,  283.97
201511,   33.50,  244.38,  285.56
201512,   30.50,  241.88,  288.92
201512,   30.50,  243.13,  288.53
201512,   30.50,  244.38,  285.02
201512,   31.50,  241.88,  288.45
201512,   31.50,  243.13,  286.96
201512,   31.50,  244.38,  282.87
201512,   32.50,  241.88,  287.90
201512,   32.50,  243.13,  284.52
201512,   32.50,  244.38,  282.72
201512,   33.50,  241.88,  285.51
201512,   33.50,  243.13,  281.03
201512,   33.50,  244.38,  282.38
201601,   30.50,  241.88,  286.13
201601,   30.50,  243.13,  285.91
201601,   30.50,  244.38,  281.97
201601,   31.50,  241.88,  285.56
201601,   31.50,  243.13,  283.96
201601,   31.50,  244.38,  279.49
201601,   32.50,  241.88,  285.04
201601,   32.50,  243.13,  281.01
201601,   32.50,  244.38,  278.97
201601,   33.50,  241.88,  282.19
201601,   33.50,  243.13,  276.88
201601,   33.50,  244.38,  278.25
201602,   30.50,  241.88,  287.78
201602,   30.50,  243.13,  287.91
201602,   30.50,  244.38,  286.33
201602,   31.50,  241.88,  287.38
201602,   31.50,  243.13,  286.86
201602,   31.50,  244.38,  284.97
201602,   32.50,  241.88,  287.10
201602,   32.50,  243.13,  285.26
201602,   32.50,  244.38,  285.19
201602,   33.50,  241.88,  285.92
201602,   33.50,  243.13,  282.40
201602,   33.50,  244.38,  284.98
201603,   30.50,  241.88,  288.62
201603,   30.50,  243.13,  288.96
201603,   30.50,  244.38,  289.03
201603,   31.50,  241.88,  288.24
201603,   31.50,  243.13,  288.30
201603,   31.50,  244.38,  288.12
201603,   32.50,  241.88,  288.07
201603,   32.50,  243.13,  287.25
201603,   32.50,  244.38,  288.77
201603,   33.50,  241.88,  287.67
201603,   33.50,  243.13,  286.11
201603,   33.50,  244.38,  289.44
201604,   30.50,  241.88,  288.36
201604,   30.50,  243.13,  288.54
201604,   30.50,  244.38,  289.12
201604,   31.50,  241.88,  288.08
201604,   31.50,  243.13,  287.86
201604,   31.50,  244.38,  288.51
201604,   32.50,  241.88,  288.00
201604,   32.50,  243.13,  286.90
201604,   32.50,  244.38,  289.24
201604,   33.50,  241.88,  287.34
201604,   33.50,  243.13,  286.01
201604,   33.50,  244.38,  289.92
201605,   30.50,  241.88,  291.63
201605,   30.50,  243.13,  292.50
