,Date,Temperature Celsius
0,2014-12-07,14.794403076171875
1,2015-01-06,16.017669677734375
2,2015-02-04,17.426025390625
3,2015-03-07,20.27130126953125
4,2015-04-06,21.280853271484375
5,2015-05-07,21.00579833984375
6,2015-06-06,21.016326904296875
7,2015-07-07,20.99993896484375
8,2015-08-07,20.98980712890625
9,2015-09-06,19.215911865234375
10,2015-10-07,17.784210205078125
11,2015-11-06,15.089141845703125
12,2015-12-07,15.41058349609375
13,2016-01-06,17.597259521484375
14,2016-02-04,19.39776611328125
15,2016-03-06,21.53411865234375
16,2016-04-05,23.3880615234375
17,2016-05-06,21.938873291015625
18,2016-06-05,21.45391845703125
19,2016-07-06,22.3719482421875
20,2016-08-06,22.577301025390625
21,2016-09-05,20.117523193359375
22,2016-10-06,19.4163818359375
23,2016-11-05,16.831451416015625
24,2016-12-06,15.3126220703125
25,2017-01-05,17.082000732421875
26,2017-02-03,20.377410888671875
27,2017-03-06,21.0526123046875
28,2017-04-05,22.39312744140625
29,2017-05-06,20.545318603515625
30,2017-06-05,20.46966552734375
31,2017-07-06,21.44091796875
32,2017-08-06,21.46270751953125
33,2017-09-05,20.442779541015625
34,2017-10-06,18.656341552734375
35,2017-11-05,15.506103515625
36,2017-12-06,15.161041259765625
37,2018-01-05,17.95916748046875
38,2018-02-03,21.388397216796875
39,2018-03-06,23.966339111328125
40,2018-04-05,23.742767333984375
41,2018-05-06,22.202362060546875
42,2018-06-05,21.406280517578125
43,2018-07-06,21.28363037109375
44,2018-08-06,21.316009521484375
45,2018-09-05,19.250518798828125
46,2018-10-06,17.80120849609375
47,2018-11-05,16.51507568359375
48,2018-12-06,14.97686767578125
49,2019-01-05,16.768310546875
50,2019-02-03,17.625946044921875
51,2019-03-06,20.598388671875
52,2019-04-05,20.553924560546875
53,2019-05-06,21.286895751953125
54,2019-06-05,21.11920166015625
55,2019-07-06,21.261566162109375
56,2019-08-06,21.285125732421875
57,2019-09-05,19.9034423828125
58,2019-10-06,18.0484619140625
59,2019-11-05,15.7537841796875
60,2019-12-06,16.306427001953125
61,2020-01-05,16.85107421875
62,2020-02-03,17.971893310546875
63,2020-03-05,19.67669677734375
64,2020-04-04,21.517669677734375
65,2020-05-05,21.25079345703125
66,2020-06-04,20.89892578125
67,2020-07-05,21.383392333984375
68,2020-08-05,21.038360595703125
69,2020-09-04,19.80010986328125
70,2020-10-05,18.11676025390625
71,2020-11-04,17.49005126953125
72,2020-12-05,15.4884033203125
73,2021-01-04,15.285247802734375
74,2021-02-02,18.06768798828125
75,2021-03-05,21.000091552734375
76,2021-04-04,20.99200439453125
77,2021-05-05,21.800628662109375
78,2021-06-04,21.938232421875
79,2021-07-05,22.24615478515625
80,2021-08-05,21.340911865234375
81,2021-09-04,20.88360595703125
82,2021-10-05,18.029937744140625
83,2021-11-04,17.676788330078125
84,2021-12-05,14.38336181640625
85,2022-01-04,17.709014892578125
86,2022-02-02,20.774566650390625
87,2022-03-05,24.966766357421875
88,2022-04-04,22.8504638671875
89,2022-05-05,23.925506591796875
90,2022-06-04,22.02056884765625
91,2022-07-05,22.2183837890625
92,2022-08-05,21.26727294921875
93,2022-09-04,20.001373291015625
94,2022-10-05,18.5836181640625
95,2022-11-04,17.8753662109375
96,2022-12-05,15.832275390625
97,2023-01-04,17.33856201171875
98,2023-02-02,19.694305419921875
99,2023-03-05,22.7349853515625
100,2023-04-04,22.829925537109375
101,2023-05-05,23.662017822265625
102,2023-06-04,21.928955078125
103,2023-07-05,21.764984130859375
104,2023-08-05,21.23876953125
105,2023-09-04,20.5006103515625
106,2023-10-05,16.168121337890625
107,2023-11-04,15.86370849609375
108,2023-12-05,14.51580810546875
109,2024-01-04,15.8614501953125
110,2024-02-02,17.93218994140625
111,2024-03-04,17.872894287109375
112,2024-04-03,20.321746826171875
113,2024-05-04,22.04144287109375
114,2024-06-03,21.21929931640625
115,2024-07-04,20.96173095703125
116,2024-08-04,21.665802001953125
117,2024-09-03,20.036651611328125
118,2024-10-04,18.057342529296875
119,2024-11-03,17.46551513671875
120,2024-12-04,15.0361328125
121,2025-01-03,16.350830078125
122,2025-02-01,19.4998779296875
123,2025-03-04,20.875762939453125
124,2025-04-03,23.65863037109375
125,2025-05-04,22.014923095703125
126,2025-06-03,22.017913818359375
127,2025-07-04,22.180450439453125
128,2025-08-04,22.5257568359375
129,2025-09-03,19.69281005859375
130,2025-10-04,18.847320556640625
131,2025-11-03,17.27142333984375
132,2025-12-04,15.476959228515625
133,2026-01-03,16.56817626953125
134,2026-02-01,19.730316162109375
135,2026-03-04,22.1455078125
136,2026-04-03,23.37689208984375
137,2026-05-04,21.8843994140625
138,2026-06-03,22.132232666015625
139,2026-07-04,21.95416259765625
140,2026-08-04,21.663543701171875
141,2026-09-03,20.115966796875
142,2026-10-04,17.897308349609375
143,2026-11-03,16.654388427734375
144,2026-12-04,15.074462890625
145,2027-01-03,16.878021240234375
146,2027-02-01,18.892822265625
147,2027-03-04,20.713897705078125
148,2027-04-03,21.19622802734375
149,2027-05-04,21.189422607421875
150,2027-06-03,21.248443603515625
151,2027-07-04,21.69171142578125
152,2027-08-04,21.491302490234375
153,2027-09-03,19.36505126953125
154,2027-10-04,18.60333251953125
155,2027-11-03,16.998077392578125
156,2027-12-04,14.74322509765625
157,2028-01-03,17.955322265625
158,2028-02-01,19.279632568359375
159,2028-03-03,21.644744873046875
160,2028-04-02,21.91387939453125
161,2028-05-03,22.157928466796875
162,2028-06-02,20.933135986328125
163,2028-07-03,21.086761474609375
164,2028-08-03,20.877197265625
