Honduras,,Mexico,,Guatemala,,El Salvador,
Date,Total,Date,Total,Date,Total,Date,Total
2016-09,179,2014-02,"6,068",2014-01,980,2016-04,120
2015-12,178,2011-07,"6,054",2008-09,973,2010-10,119
2012-02,174,2012-08,"5,992",2015-06,941,2010-12,119
2020-05,173,2011-12,"5,920",2016-09,919,2015-09,114
2018-01,171,2013-07,"5,876",2015-04,902,2011-12,113
2013-11,168,2013-12,"5,687",2010-08,887,2009-01,112
2010-04,167,2012-07,"5,664",2016-01,880,2015-06,111
2013-12,166,2014-01,"5,523",2008-07,876,2011-02,111
2015-11,165,2020-08,"5,271",2016-08,847,2012-08,111
2010-02,163,2015-03,"5,089",2015-03,846,2008-02,110
2015-10,161,2016-03,"4,816",2016-04,841,2014-12,110
2013-10,160,2016-05,"4,703",2010-09,838,2011-05,109
2010-06,158,2020-07,"4,641",2011-12,831,2017-01,109
2014-08,158,2014-06,"4,570",2017-01,828,2011-09,109
2008-04,153,2015-02,"4,560",2012-07,820,2014-03,108
2020-04,150,2014-10,"4,490",2016-03,814,2009-02,103
2015-08,149,2016-04,"4,471",2012-01,780,2018-05,102
2010-03,146,2015-05,"4,418",2015-09,776,2018-09,100
2009-05,144,2015-10,"4,371",2008-05,764,2013-07,99
2008-02,142,2014-11,"4,294",2010-04,760,2020-01,97
2011-10,140,2014-09,"4,223",2011-06,739,2021-01,96
2020-07,140,2014-08,"4,210",2015-02,739,2012-12,95
2008-07,136,2016-10,"4,205",2015-07,734,2012-10,95
2009-02,135,2015-11,"4,157",2011-05,729,2018-10,94
2015-09,133,2015-04,"4,153",2009-09,727,2016-09,94
2016-01,132,2020-06,"4,149",2017-09,726,2020-08,93
2009-10,132,2016-02,"4,130",2014-11,719,2013-11,93
2012-01,132,2014-12,"4,086",2020-07,715,2016-02,92
2011-11,131,2015-12,"4,001",2017-08,711,2018-12,92
2017-05,130,2016-11,"3,906",2013-08,711,2019-02,91
2022-01,130,2015-01,"3,887",2015-01,710,2018-03,91
2011-07,129,2015-09,"3,764",2012-08,708,2018-04,90
2009-06,129,2015-06,"3,730",2013-07,700,2013-12,90
2009-09,129,2016-06,"3,623",2009-08,697,2015-01,90
